FileName,Width,Height,ClassName,XMin,YMin,XMax,YMax
4b0751cdbb19b41b_jpg.rf.ae344d16efa4b9d6c528beceb33f027b.jpg,640,640,Bicycle,231,94,382,347
4b0751cdbb19b41b_jpg.rf.ae344d16efa4b9d6c528beceb33f027b.jpg,640,640,Bicycle,235,335,291,422
4b0751cdbb19b41b_jpg.rf.ae344d16efa4b9d6c528beceb33f027b.jpg,640,640,Person,260,154,383,442
4b0751cdbb19b41b_jpg.rf.ae344d16efa4b9d6c528beceb33f027b.jpg,640,640,Person,238,354,293,493
371a735d26706d13_jpg.rf.b19e042a1cbb11222ceb518c80cc5a0d.jpg,640,640,Boat,218,122,368,446
831fc479f5b47b6a_jpg.rf.b3087d9b0ab1ffd3a9e0ba8616a063ad.jpg,640,640,Apple,242,6,464,292
831fc479f5b47b6a_jpg.rf.b3087d9b0ab1ffd3a9e0ba8616a063ad.jpg,640,640,Apple,291,281,495,474
831fc479f5b47b6a_jpg.rf.b3087d9b0ab1ffd3a9e0ba8616a063ad.jpg,640,640,Apple,412,162,537,369
831fc479f5b47b6a_jpg.rf.b3087d9b0ab1ffd3a9e0ba8616a063ad.jpg,640,640,Apple,489,220,639,489
6f6970affee5ed2e_jpg.rf.b609cf599f2938349765d4c6661bb750.jpg,640,640,Bicycle,2,51,599,604
6ae004c1c1afb375_jpg.rf.b5d1c86fb70406fa184dfb372e6798a6.jpg,640,640,Boat,544,52,632,138
96a71435228854a1_jpg.rf.b0b9c61b72634c4789348ff9ec679157.jpg,640,640,Boat,46,191,568,363
8ea12d91e458f26e_jpg.rf.b4339bd3c9fa67a0e38dbfd160a9e515.jpg,640,640,Apple,281,223,365,360
017b1db70d21f805_jpg.rf.b4abf4dc3acab45c2eb501f73818e8f3.jpg,640,640,Apple,70,347,640,639
017b1db70d21f805_jpg.rf.b4abf4dc3acab45c2eb501f73818e8f3.jpg,640,640,Apple,248,564,422,639
d5998c0f973a38ea_jpg.rf.b6e089202b2a5cbf1e7ba4e481b86942.jpg,640,640,Person,122,301,148,381
d5998c0f973a38ea_jpg.rf.b6e089202b2a5cbf1e7ba4e481b86942.jpg,640,640,Person,106,295,126,368
d5998c0f973a38ea_jpg.rf.b6e089202b2a5cbf1e7ba4e481b86942.jpg,640,640,Person,74,305,96,369
d5998c0f973a38ea_jpg.rf.b6e089202b2a5cbf1e7ba4e481b86942.jpg,640,640,Person,39,299,63,382
d5998c0f973a38ea_jpg.rf.b6e089202b2a5cbf1e7ba4e481b86942.jpg,640,640,Person,40,299,61,330
04fac73ed7c48ad6_jpg.rf.aeb9800ec1b6bedcb69728c2aa5b15de.jpg,640,640,Boat,163,65,394,260
04fac73ed7c48ad6_jpg.rf.aeb9800ec1b6bedcb69728c2aa5b15de.jpg,640,640,Boat,217,257,523,640
07a1a6b39a37faf1_jpg.rf.b3ce7fda06773fd6559c2c2da73b0013.jpg,640,640,Apple,411,98,584,344
07a1a6b39a37faf1_jpg.rf.b3ce7fda06773fd6559c2c2da73b0013.jpg,640,640,Apple,465,311,630,413
07a1a6b39a37faf1_jpg.rf.b3ce7fda06773fd6559c2c2da73b0013.jpg,640,640,Apple,555,191,640,380
e004e124bd991b94_jpg.rf.b616637b8f064d39a7c69537c93935e6.jpg,640,640,Boat,58,356,81,365
e004e124bd991b94_jpg.rf.b616637b8f064d39a7c69537c93935e6.jpg,640,640,Boat,59,378,85,386
e004e124bd991b94_jpg.rf.b616637b8f064d39a7c69537c93935e6.jpg,640,640,Boat,166,413,362,445
e004e124bd991b94_jpg.rf.b616637b8f064d39a7c69537c93935e6.jpg,640,640,Boat,186,358,225,371
e004e124bd991b94_jpg.rf.b616637b8f064d39a7c69537c93935e6.jpg,640,640,Boat,217,367,258,380
e004e124bd991b94_jpg.rf.b616637b8f064d39a7c69537c93935e6.jpg,640,640,Boat,247,280,333,290
e004e124bd991b94_jpg.rf.b616637b8f064d39a7c69537c93935e6.jpg,640,640,Boat,307,188,421,220
e004e124bd991b94_jpg.rf.b616637b8f064d39a7c69537c93935e6.jpg,640,640,Boat,321,374,344,388
e004e124bd991b94_jpg.rf.b616637b8f064d39a7c69537c93935e6.jpg,640,640,Boat,399,411,421,444
e004e124bd991b94_jpg.rf.b616637b8f064d39a7c69537c93935e6.jpg,640,640,Boat,445,373,482,388
e004e124bd991b94_jpg.rf.b616637b8f064d39a7c69537c93935e6.jpg,640,640,Boat,451,418,472,441
e004e124bd991b94_jpg.rf.b616637b8f064d39a7c69537c93935e6.jpg,640,640,Boat,470,362,517,383
e004e124bd991b94_jpg.rf.b616637b8f064d39a7c69537c93935e6.jpg,640,640,Boat,518,411,543,441
e004e124bd991b94_jpg.rf.b616637b8f064d39a7c69537c93935e6.jpg,640,640,Boat,542,361,591,374
e004e124bd991b94_jpg.rf.b616637b8f064d39a7c69537c93935e6.jpg,640,640,Boat,580,304,639,320
86505999130b72a4_jpg.rf.b1b4670f67a19ef7fd3a8d32aa46a3cd.jpg,640,640,Person,559,224,605,333
86505999130b72a4_jpg.rf.b1b4670f67a19ef7fd3a8d32aa46a3cd.jpg,640,640,Person,97,233,115,307
86505999130b72a4_jpg.rf.b1b4670f67a19ef7fd3a8d32aa46a3cd.jpg,640,640,Person,128,236,149,304
86505999130b72a4_jpg.rf.b1b4670f67a19ef7fd3a8d32aa46a3cd.jpg,640,640,Person,198,237,221,308
86505999130b72a4_jpg.rf.b1b4670f67a19ef7fd3a8d32aa46a3cd.jpg,640,640,Person,220,234,230,291
86505999130b72a4_jpg.rf.b1b4670f67a19ef7fd3a8d32aa46a3cd.jpg,640,640,Person,232,226,245,297
86505999130b72a4_jpg.rf.b1b4670f67a19ef7fd3a8d32aa46a3cd.jpg,640,640,Person,233,197,352,534
86505999130b72a4_jpg.rf.b1b4670f67a19ef7fd3a8d32aa46a3cd.jpg,640,640,Person,236,230,255,304
86505999130b72a4_jpg.rf.b1b4670f67a19ef7fd3a8d32aa46a3cd.jpg,640,640,Person,293,160,435,535
86505999130b72a4_jpg.rf.b1b4670f67a19ef7fd3a8d32aa46a3cd.jpg,640,640,Person,521,186,535,264
86505999130b72a4_jpg.rf.b1b4670f67a19ef7fd3a8d32aa46a3cd.jpg,640,640,Person,588,193,609,277
86505999130b72a4_jpg.rf.b1b4670f67a19ef7fd3a8d32aa46a3cd.jpg,640,640,Person,615,193,628,232
86505999130b72a4_jpg.rf.b1b4670f67a19ef7fd3a8d32aa46a3cd.jpg,640,640,Person,614,190,639,398
86505999130b72a4_jpg.rf.b1b4670f67a19ef7fd3a8d32aa46a3cd.jpg,640,640,Person,629,180,639,216
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,412,5,589,401
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,401,250,428,284
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,362,270,424,297
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,297,1,418,38
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,374,250,403,290
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,325,238,390,254
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,322,234,380,263
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,316,246,365,268
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,289,255,358,279
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,264,266,355,296
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,289,287,350,309
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,303,250,346,277
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,285,284,346,310
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,321,336,342,361
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,273,279,337,298
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,212,313,316,332
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,208,319,265,343
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,208,271,264,302
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,234,297,262,319
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,134,304,210,433
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,187,278,209,306
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,43,144,203,296
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,154,181,194,214
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,176,458,194,475
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,173,285,191,314
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,98,190,187,338
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,166,460,174,468
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,155,457,164,469
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,138,457,154,465
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,127,457,139,469
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,116,457,126,468
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,101,454,118,466
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,82,458,111,479
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,68,457,79,475
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,59,461,74,472
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,55,454,70,465
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,4,278,60,317
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,51,465,58,470
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,43,464,49,469
8e286c2fde17a946_jpg.rf.b02559dda025af07be155ffd627d70f9.jpg,640,640,Boat,1,257,34,297
df2e284331f97dc9_jpg.rf.b4e50f24ae525a12702629d625fbe5a8.jpg,640,640,Bird,234,107,480,545
aaa84a0199f495d7_jpg.rf.b03a2b96a20715c2df0b171c0c727bdd.jpg,640,640,Person,56,0,640,640
affe08bfeac75bb7_jpg.rf.af234a30c5ec51c000e171861a4a75d7.jpg,640,640,Person,560,274,612,517
affe08bfeac75bb7_jpg.rf.af234a30c5ec51c000e171861a4a75d7.jpg,640,640,Person,74,181,143,466
d06f2cfc50b1e081_jpg.rf.b4bba209b774541b1aae32f37335b4c1.jpg,640,640,Apple,0,346,91,470
c6847fa1d4c85693_jpg.rf.b54d834444bc2b7e4a21dc5cfed7d71d.jpg,640,640,Person,1,0,640,381
c6847fa1d4c85693_jpg.rf.b54d834444bc2b7e4a21dc5cfed7d71d.jpg,640,640,Person,1,410,640,639
3a0b784300e6bbef_jpg.rf.b02585eca69723449ecba7ec20c6bd4a.jpg,640,640,Person,1,1,640,640
3a0b784300e6bbef_jpg.rf.b02585eca69723449ecba7ec20c6bd4a.jpg,640,640,Person,1,1,121,468
3db47cff4bb2f168_jpg.rf.b521f57ed4baa2fe75a8d23799f80f8f.jpg,640,640,Bicycle,184,223,613,613
3db47cff4bb2f168_jpg.rf.b521f57ed4baa2fe75a8d23799f80f8f.jpg,640,640,Bicycle,51,38,138,76
